,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
34,../../2017_Feb_Zr/30MeV/BR150217_Zr02_18cm_30MeV.Spe,90NB,1470.528,1287.8916191674489,76.55363916402412,0.00459,0.00016,0.0009435672901063,0.0001278203214595,306448510.08986056,47351569.956118256,39654.31031183496,6127.273545046358,1.1318260781047629,02/15/2017 19:13:49,7499.0,7728.0
35,../../2017_Feb_Zr/30MeV/BR150217_Zr02_18cm_30MeV.Spe,90NB,1575.035,1473.761121142507,75.56258445410776,0.00517,0.00016,0.0008921878926686,0.0002098948801704,329263800.47433454,80391443.63462077,42606.59944026068,10402.61951793747,1.0711927006254165,02/15/2017 19:13:49,7499.0,7728.0
36,../../2017_Feb_Zr/30MeV/BR150217_Zr02_18cm_30MeV.Spe,90NB,1611.76,6450.8721308782015,111.92505797733835,0.0237999999999999,0.0007,0.0008755563269149,0.0002456996637743,319022376.19127065,90272262.38084456,41281.36337878761,11681.193372262493,1.2277191472708835,02/15/2017 19:13:49,7499.0,7728.0
37,../../2017_Feb_Zr/30MeV/BR150217_Zr02_18cm_30MeV.Spe,90NB,1658.1,744.8976543990174,58.536171542404645,0.00335,0.00015,0.0008555169645091,0.0002959292178663,267847090.79937536,96266424.45816022,34659.30263967073,12456.83546301245,0.7485654098435014,02/15/2017 19:13:49,7499.0,7728.0
38,../../2017_Feb_Zr/30MeV/BR150217_Zr02_18cm_30MeV.Spe,90NB,1716.27,1501.8685120037987,102.18859520889134,0.005,0.00016,0.0008317432370754,0.0003669095412174,372165738.17530125,166819071.65141958,48158.092413988255,21586.318795473548,1.5353823663144277,02/15/2017 19:13:49,7499.0,7728.0
39,../../2017_Feb_Zr/30MeV/BR150217_Zr02_18cm_30MeV.Spe,90NB,1843.342,1616.349541354635,112.7332270834728,0.0068899999999999,0.00016,0.0007845367880193,0.0005515718872856,308153077.35931885,217964145.8387268,39874.88061067791,28204.47021722656,1.8997098382019135,02/15/2017 19:13:49,7499.0,7728.0
40,../../2017_Feb_Zr/30MeV/BR150217_Zr02_18cm_30MeV.Spe,90NB,1913.194,3365.648004844225,110.6985156230509,0.0128,0.00017,0.0007610082945691,0.000669414160003,356068121.4158829,313526774.969727,46075.06747099934,40570.23485633113,1.1947879215726818,02/15/2017 19:13:49,7499.0,7728.0
41,../../2017_Feb_Zr/30MeV/BR150217_Zr02_18cm_30MeV.Spe,90NB,1984.54,1438.2622140603928,97.27451281970328,0.00681,0.00025,0.0007385270250299,0.0008010917441096,294705558.06247985,320569355.03728503,38134.77718199791,41481.54180089092,1.1356414866428677,02/15/2017 19:13:49,7499.0,7728.0
42,../../2017_Feb_Zr/30MeV/BR150217_Zr02_18cm_30MeV.Spe,90NB,2186.242,39481.606399690834,552.8539446788106,0.1796,0.0017,0.0006823080937943,0.00122915693728,332025713.7948873,598162718.2540876,42963.9898802908,77402.00805565315,7.812679161974401,02/15/2017 19:13:49,7499.0,7728.0
43,../../2017_Feb_Zr/30MeV/BR150217_Zr02_18cm_30MeV.Spe,90NB,2222.34,1351.8521877910189,48.173853575476926,0.00623,0.00025,0.0006732555135482,0.0013134820813657,332142922.497618,648299457.8995523,42979.15663789053,83889.68140522158,0.8995086330248966,02/15/2017 19:13:49,7499.0,7728.0
44,../../2017_Feb_Zr/30MeV/BR150217_Zr02_18cm_30MeV.Spe,90NB,2318.959,170552.74136790237,2861.2089630865707,0.8200000000000001,0.003,0.0006503260339043,0.0015490644820438,329592614.71258485,785104262.7786232,42649.147866535306,101592.166508621,52.39419446598349,02/15/2017 19:13:49,7499.0,7728.0
45,../../2017_Feb_Zr/30MeV/BR150217_Zr02_18cm_30MeV.Spe,24NA,2754.007,35.99223602043464,7.819294960917205,0.99855,5e-05,0.0005658689751977,0.0027259905935407,65642.76835284848,316734.8318440282,8.494147043588054,40.98535608747777,1.3964904277901014,02/15/2017 19:13:49,7499.0,7728.0
0,../../2017_Feb_Zr/30MeV/BS160217_Zr05_18cm_30MeV.Spe,90NB,141.178,1526.6128183171943,71.61730931583683,0.668,0.0069999999999999,0.0057414007394762,0.0023603067022246,398091.434780765,165086.20324290526,11.056866869813494,4.585218399147463,2.816062521189907,02/15/2017 21:24:54,36000.0,36004.0
1,../../2017_Feb_Zr/30MeV/BS160217_Zr05_18cm_30MeV.Spe,96NB,778.224,93.47872442823608,21.801570282965415,0.9645,0.0022,0.0015628417466461,6.704696589393356e-05,62021.718319911655,16046.394204255934,1.7226341050969796,0.4456836519346721,2.22832441710311,02/15/2017 21:24:54,36000.0,36004.0
2,../../2017_Feb_Zr/30MeV/BS160217_Zr05_18cm_30MeV.Spe,89ZR,909.15,2845.318232302466,48.844070401239215,0.9904,0.04952,0.0013872207056192,6.790750871872452e-05,2071204.1370731608,154196.38861004374,57.527056356881474,4.282757155039544,0.8976199922542221,02/15/2017 21:24:54,36000.0,36004.0
3,../../2017_Feb_Zr/30MeV/BS160217_Zr05_18cm_30MeV.Spe,92Y,934.47,156.9302430239913,16.942330524955572,0.139,0.015,0.0013578324619599,6.823887510297863e-05,831560.615614531,149215.4687258258,23.0963397293226,4.144413640868399,1.2517715137138166,02/15/2017 21:24:54,36000.0,36004.0
4,../../2017_Feb_Zr/30MeV/BS160217_Zr05_18cm_30MeV.Spe,90NB,1129.224,420.18846167095273,19.73377413898493,0.927,0.005,0.0011671580716769,6.479018893803904e-05,388403.34623396426,34073.583980304575,10.787783197254868,0.9463832901984384,0.8642906228454534,02/15/2017 21:24:54,36000.0,36004.0
5,../../2017_Feb_Zr/30MeV/BS160217_Zr05_18cm_30MeV.Spe,40K,1460.82,88.05905964073177,11.706248251379952,0.1066,0.0017,0.0009486731439739,0.0001217394779108,870860.283827945,186270.43919133945,24.187875897898707,5.173604021534814,1.1459983476532996,02/15/2017 21:24:54,36000.0,36004.0
6,../../2017_Feb_Zr/30MeV/BS160217_Zr05_18cm_30MeV.Spe,89NB,1833.4,22.50780270411737,7.966497041965602,0.033,0.0069999999999999,0.0007880169732355,0.0005357210310379,865629.0846683074,712174.1696188356,24.04258095401365,19.78041799852337,1.296634805623462,02/15/2017 21:24:54,36000.0,36004.0
7,../../2017_Feb_Zr/30MeV/BS160217_Zr05_18cm_30MeV.Spe,90NB,2186.242,54.2034535625064,7.937228796902651,0.1796,0.0017,0.0006823080937943,0.00122915693728,442372.7383121977,801814.7605402148,12.28676642351399,22.27015777525316,1.226499663809092,02/15/2017 21:24:54,36000.0,36004.0
8,../../2017_Feb_Zr/30MeV/BS160217_Zr05_18cm_30MeV.Spe,90NB,2318.959,180.9555333341134,16.220690169661513,0.8200000000000001,0.003,0.0006503260339043,0.0015490644820438,339371.312064351,809342.5858094653,9.42593356472478,22.479240801285,1.7904978030055128,02/15/2017 21:24:54,36000.0,36004.0
0,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,90Ym,202.53,2324.664878908082,558.1345586351108,0.973,0.004,0.0047172887202969,0.0008059505117556,506792.30620391737,149723.73743655955,3.686834760686144,1.0892167716903791,8.57906887871293,02/24/2017 17:15:35,137373.0,137460.0
1,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,92Y,448.5,41.71124249666661,95.94394097229193,0.023,0.003,0.0023948359373282,0.0001242946765689,757747.4458018346,1750146.0960591794,5.51249414958413,12.732039109989666,1.444714542156058,02/24/2017 17:15:35,137373.0,137460.0
2,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,92Y,492.6,118.80591223054353,87.30734699659786,0.0049,0.0005,0.0022228511149628,0.0001088359853923,10914568.109350292,8176943.309446647,79.40177585734244,59.48598362757636,1.1231826302700552,02/24/2017 17:15:35,137373.0,137460.0
3,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,92Y,561.1,218.9022220402996,116.68503382405925,0.024,0.003,0.0020084294568565,9.05970241617466e-05,4544198.593113109,2515231.138811148,33.058334010716635,18.297913129718808,1.7801151983397414,02/24/2017 17:15:35,137373.0,137460.0
4,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,96NB,568.871,1226.0765516147185,166.0658956662556,0.58,0.003,0.0019872133407506,8.89086928277548e-05,1064437.2298693764,154945.6650578949,7.743614359590982,1.1272054783784002,1.7801151983397414,02/24/2017 17:15:35,137373.0,137460.0
5,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,95ZR,724.192,37133.10164459947,1086.7397316566537,0.4427,0.0022,0.0016512012893524,6.894583808447795e-05,50830764.58146756,2617466.0647241054,369.7858619341449,19.041656225259025,24.380606466537603,02/24/2017 17:15:35,137373.0,137460.0
6,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,95ZR,756.725,41288.90865218674,473.117103252906,0.5438000000000001,0.0022,0.0015966637607773,6.756328106965223e-05,47583423.93983588,2107935.762196879,346.1619666800224,15.334902969568448,4.77576377356155,02/24/2017 17:15:35,137373.0,137460.0
7,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,95NB,765.803,78395.42416672943,618.3028123200572,0.99808,7.000000000000001e-05,0.0015821788330543,6.73100164293175e-05,49675786.06245086,2156660.841744981,361.3835738574921,15.68937030223324,4.77576377356155,02/24/2017 17:15:35,137373.0,137460.0
8,../../2017_Feb_Zr/30MeV/CH260217_Zr03_18cm_30MeV.Spe,96NB,778.224,1005.7607750528828,93.03636483519264,0.9645,0.0022,0.0015628417466461,6.704696589393356e-05,667655.4760397669,71276.20295402814,4.857089160772348,0.5185232282411475,1.0841868642417334,02/24/2017 17:15:35,137373.0,137460.0
