85Rb(a,3n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
42.5	1025.1	66.7	1.01E+02	2.73E+00	9.85E+01	2.14E+03
42.6	1019.2	66.3	1.02E+02	2.76E+00	9.96E+01	2.17E+03
42.7	1013.1	65.9	1.03E+02	2.78E+00	1.01E+02	2.19E+03
42.8	1006.7	65.5	1.04E+02	2.81E+00	1.02E+02	2.21E+03
42.9	1000.0	65.0	1.05E+02	2.84E+00	1.03E+02	2.24E+03
43.0	993.2	64.6	1.06E+02	2.87E+00	1.04E+02	2.26E+03
43.1	986.1	64.1	1.07E+02	2.90E+00	1.05E+02	2.28E+03
43.2	978.8	63.7	1.08E+02	2.93E+00	1.06E+02	2.31E+03
43.3	971.4	63.2	1.09E+02	2.96E+00	1.07E+02	2.33E+03
43.4	963.7	62.7	1.11E+02	2.99E+00	1.08E+02	2.35E+03
43.5	955.9	62.2	1.12E+02	3.02E+00	1.09E+02	2.37E+03
43.6	948.0	61.7	1.13E+02	3.04E+00	1.10E+02	2.39E+03
43.7	939.9	61.1	1.14E+02	3.07E+00	1.11E+02	2.42E+03
43.8	931.7	60.6	1.15E+02	3.10E+00	1.12E+02	2.44E+03
43.9	923.4	60.1	1.16E+02	3.13E+00	1.13E+02	2.46E+03
44.0	914.9	59.3	1.17E+02	3.15E+00	1.14E+02	2.48E+03
44.1	906.4	58.8	1.18E+02	3.18E+00	1.15E+02	2.50E+03
44.2	897.8	58.2	1.19E+02	3.21E+00	1.16E+02	2.52E+03
44.3	889.1	57.7	1.20E+02	3.23E+00	1.17E+02	2.54E+03
44.4	880.4	57.1	1.21E+02	3.26E+00	1.18E+02	2.57E+03
44.5	871.6	56.5	1.22E+02	3.29E+00	1.19E+02	2.59E+03
44.6	862.7	55.9	1.23E+02	3.31E+00	1.20E+02	2.61E+03
44.7	853.8	55.4	1.24E+02	3.34E+00	1.21E+02	2.63E+03
44.8	844.8	54.8	1.24E+02	3.36E+00	1.22E+02	2.65E+03
44.9	835.9	54.2	1.25E+02	3.39E+00	1.22E+02	2.67E+03
45.0	826.9	53.6	1.26E+02	3.41E+00	1.23E+02	2.69E+03
45.1	817.9	53.0	1.27E+02	3.44E+00	1.24E+02	2.71E+03
45.2	808.9	52.5	1.28E+02	3.46E+00	1.25E+02	2.73E+03
45.3	799.9	51.9	1.29E+02	3.49E+00	1.26E+02	2.74E+03
45.4	790.9	51.3	1.30E+02	3.51E+00	1.27E+02	2.76E+03
45.5	781.9	50.7	1.31E+02	3.54E+00	1.28E+02	2.78E+03
45.6	773.0	50.1	1.32E+02	3.56E+00	1.29E+02	2.80E+03
45.7	764.1	49.6	1.33E+02	3.58E+00	1.30E+02	2.82E+03
45.8	755.2	49.0	1.33E+02	3.61E+00	1.30E+02	2.84E+03
45.9	746.4	48.4	1.34E+02	3.63E+00	1.31E+02	2.86E+03
46.0	737.7	47.2	1.35E+02	3.65E+00	1.32E+02	2.87E+03
46.1	729.0	46.6	1.36E+02	3.67E+00	1.33E+02	2.89E+03
46.2	720.4	46.1	1.37E+02	3.70E+00	1.34E+02	2.91E+03
46.3	711.8	45.5	1.38E+02	3.72E+00	1.34E+02	2.93E+03
46.4	703.4	45.0	1.38E+02	3.74E+00	1.35E+02	2.94E+03
46.5	695.0	44.5	1.39E+02	3.76E+00	1.36E+02	2.96E+03
46.6	686.7	43.9	1.40E+02	3.78E+00	1.37E+02	2.98E+03
46.7	678.4	43.4	1.41E+02	3.80E+00	1.38E+02	2.99E+03
46.8	670.2	42.9	1.42E+02	3.83E+00	1.38E+02	3.01E+03
46.9	662.1	42.4	1.42E+02	3.85E+00	1.39E+02	3.03E+03
47.0	654.1	41.8	1.43E+02	3.87E+00	1.40E+02	3.04E+03
47.1	646.2	41.3	1.44E+02	3.89E+00	1.41E+02	3.06E+03
47.2	638.4	40.8	1.45E+02	3.91E+00	1.41E+02	3.07E+03
47.3	630.6	40.3	1.45E+02	3.93E+00	1.42E+02	3.09E+03
47.4	622.9	39.8	1.46E+02	3.95E+00	1.43E+02	3.11E+03
47.5	615.3	39.4	1.47E+02	3.97E+00	1.43E+02	3.12E+03
47.6	607.8	38.9	1.47E+02	3.99E+00	1.44E+02	3.14E+03
47.7	600.4	38.4	1.48E+02	4.00E+00	1.45E+02	3.15E+03
47.8	593.1	37.9	1.49E+02	4.02E+00	1.45E+02	3.17E+03
47.9	585.9	37.5	1.50E+02	4.04E+00	1.46E+02	3.18E+03
48.0	578.8	37.8	1.50E+02	4.06E+00	1.47E+02	3.20E+03
48.1	571.8	37.4	1.51E+02	4.08E+00	1.47E+02	3.21E+03
48.2	564.8	36.9	1.52E+02	4.10E+00	1.48E+02	3.22E+03
48.3	558.0	36.5	1.52E+02	4.12E+00	1.49E+02	3.24E+03
48.4	551.2	36.0	1.53E+02	4.13E+00	1.49E+02	3.25E+03
48.5	544.6	35.6	1.54E+02	4.15E+00	1.50E+02	3.27E+03
48.6	538.0	35.2	1.54E+02	4.17E+00	1.51E+02	3.28E+03
48.7	531.6	34.7	1.55E+02	4.19E+00	1.51E+02	3.29E+03
48.8	525.2	34.3	1.55E+02	4.20E+00	1.52E+02	3.31E+03
48.9	518.9	33.9	1.56E+02	4.22E+00	1.52E+02	3.32E+03
49.0	512.7	33.5	1.57E+02	4.24E+00	1.53E+02	3.33E+03
49.1	506.6	33.1	1.57E+02	4.25E+00	1.54E+02	3.35E+03
49.2	500.6	32.7	1.58E+02	4.27E+00	1.54E+02	3.36E+03
49.3	494.7	32.3	1.59E+02	4.28E+00	1.55E+02	3.37E+03
49.4	488.8	32.0	1.59E+02	4.30E+00	1.55E+02	3.38E+03
49.5	483.1	31.6	1.60E+02	4.32E+00	1.56E+02	3.40E+03
49.6	477.4	31.2	1.60E+02	4.33E+00	1.57E+02	3.41E+03
49.7	471.8	30.8	1.61E+02	4.35E+00	1.57E+02	3.42E+03
49.8	466.3	30.5	1.61E+02	4.36E+00	1.58E+02	3.43E+03
49.9	460.9	30.1	1.62E+02	4.38E+00	1.58E+02	3.44E+03
50.0	455.5	31.9	1.63E+02	4.39E+00	1.59E+02	3.46E+03
50.1	450.3	31.6	1.63E+02	4.41E+00	1.59E+02	3.47E+03
50.2	445.1	31.2	1.64E+02	4.42E+00	1.60E+02	3.48E+03
50.3	440.0	30.8	1.64E+02	4.44E+00	1.60E+02	3.49E+03
50.4	435.0	30.5	1.65E+02	4.45E+00	1.61E+02	3.50E+03
50.5	430.0	30.1	1.65E+02	4.47E+00	1.61E+02	3.51E+03
50.6	425.2	29.8	1.66E+02	4.48E+00	1.62E+02	3.53E+03
50.7	420.4	29.5	1.66E+02	4.49E+00	1.62E+02	3.54E+03
50.8	415.7	29.1	1.67E+02	4.51E+00	1.63E+02	3.55E+03
50.9	411.0	28.8	1.67E+02	4.52E+00	1.63E+02	3.56E+03
51.0	406.4	28.5	1.68E+02	4.54E+00	1.64E+02	3.57E+03
51.1	401.9	28.2	1.68E+02	4.55E+00	1.64E+02	3.58E+03
51.2	397.5	27.9	1.69E+02	4.56E+00	1.65E+02	3.59E+03
51.3	393.1	27.5	1.69E+02	4.58E+00	1.65E+02	3.60E+03
51.4	388.8	27.2	1.70E+02	4.59E+00	1.66E+02	3.61E+03
51.5	384.6	26.9	1.70E+02	4.60E+00	1.66E+02	3.62E+03
51.6	380.4	26.7	1.71E+02	4.61E+00	1.67E+02	3.63E+03
51.7	376.3	26.4	1.71E+02	4.63E+00	1.67E+02	3.64E+03
51.8	372.2	26.1	1.72E+02	4.64E+00	1.68E+02	3.65E+03
51.9	368.3	25.8	1.72E+02	4.65E+00	1.68E+02	3.66E+03
52.0	364.3	28.6	1.73E+02	4.66E+00	1.69E+02	3.67E+03
52.1	360.5	28.3	1.73E+02	4.68E+00	1.69E+02	3.68E+03
52.2	356.7	28.0	1.74E+02	4.69E+00	1.69E+02	3.69E+03
52.3	352.9	27.7	1.74E+02	4.70E+00	1.70E+02	3.70E+03
52.4	349.2	27.4	1.74E+02	4.71E+00	1.70E+02	3.71E+03
52.5	345.6	27.1	1.75E+02	4.73E+00	1.71E+02	3.72E+03
52.6	342.0	26.8	1.75E+02	4.74E+00	1.71E+02	3.73E+03
52.7	338.5	26.5	1.76E+02	4.75E+00	1.72E+02	3.74E+03
52.8	335.0	26.3	1.76E+02	4.76E+00	1.72E+02	3.75E+03
52.9	331.6	26.0	1.77E+02	4.77E+00	1.72E+02	3.75E+03
53.0	328.2	25.7	1.77E+02	4.78E+00	1.73E+02	3.76E+03
53.1	324.9	25.5	1.77E+02	4.79E+00	1.73E+02	3.77E+03
53.2	321.7	25.2	1.78E+02	4.81E+00	1.74E+02	3.78E+03
53.3	318.4	25.0	1.78E+02	4.82E+00	1.74E+02	3.79E+03
53.4	315.3	24.7	1.79E+02	4.83E+00	1.74E+02	3.80E+03
53.5	312.1	24.5	1.79E+02	4.84E+00	1.75E+02	3.81E+03
53.6	309.1	24.2	1.79E+02	4.85E+00	1.75E+02	3.81E+03
53.7	306.0	24.0	1.80E+02	4.86E+00	1.76E+02	3.82E+03
53.8	303.1	23.8	1.80E+02	4.87E+00	1.76E+02	3.83E+03
53.9	300.1	23.5	1.81E+02	4.88E+00	1.76E+02	3.84E+03
54.0	297.2	26.7	1.81E+02	4.89E+00	1.77E+02	3.85E+03
54.1	294.4	26.5	1.81E+02	4.90E+00	1.77E+02	3.86E+03
54.2	291.6	26.2	1.82E+02	4.91E+00	1.78E+02	3.86E+03
54.3	288.8	26.0	1.82E+02	4.92E+00	1.78E+02	3.87E+03
54.4	286.1	25.7	1.82E+02	4.93E+00	1.78E+02	3.88E+03
54.5	283.4	25.5	1.83E+02	4.94E+00	1.79E+02	3.89E+03
54.6	280.7	25.2	1.83E+02	4.95E+00	1.79E+02	3.90E+03
54.7	278.1	25.0	1.84E+02	4.96E+00	1.79E+02	3.90E+03
54.8	275.5	24.8	1.84E+02	4.97E+00	1.80E+02	3.91E+03
54.9	273.0	24.5	1.84E+02	4.98E+00	1.80E+02	3.92E+03
55.0	270.5	24.3	1.85E+02	4.99E+00	1.80E+02	3.93E+03
55.1	268.0	24.1	1.85E+02	5.00E+00	1.81E+02	3.93E+03
55.2	265.6	23.9	1.85E+02	5.01E+00	1.81E+02	3.94E+03
55.3	263.2	23.7	1.86E+02	5.02E+00	1.81E+02	3.95E+03
55.4	260.8	23.4	1.86E+02	5.03E+00	1.82E+02	3.96E+03
55.5	258.5	23.2	1.86E+02	5.04E+00	1.82E+02	3.96E+03
55.6	256.2	23.0	1.87E+02	5.05E+00	1.82E+02	3.97E+03
55.7	253.9	22.8	1.87E+02	5.05E+00	1.83E+02	3.98E+03
55.8	251.7	22.6	1.87E+02	5.06E+00	1.83E+02	3.98E+03
55.9	249.5	22.4	1.88E+02	5.07E+00	1.83E+02	3.99E+03
56.0	247.3	25.6	1.88E+02	5.08E+00	1.84E+02	4.00E+03
