86Sr(p,n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
19.6	241.5	10.6	7.22E+02	1.95E+01	7.05E+02	1.54E+04
19.7	234.3	10.3	7.25E+02	1.96E+01	7.08E+02	1.54E+04
19.8	227.5	10.0	7.28E+02	1.97E+01	7.11E+02	1.55E+04
19.9	221.0	9.7	7.31E+02	1.98E+01	7.14E+02	1.55E+04
20.0	214.7	9.1	7.34E+02	1.98E+01	7.17E+02	1.56E+04
20.1	208.7	8.9	7.37E+02	1.99E+01	7.20E+02	1.57E+04
20.2	202.9	8.6	7.39E+02	2.00E+01	7.22E+02	1.57E+04
20.3	197.4	8.4	7.42E+02	2.01E+01	7.25E+02	1.58E+04
20.4	192.1	8.2	7.45E+02	2.01E+01	7.27E+02	1.58E+04
20.5	187.1	8.0	7.47E+02	2.02E+01	7.30E+02	1.59E+04
20.6	182.2	7.8	7.50E+02	2.03E+01	7.32E+02	1.59E+04
20.7	177.6	7.6	7.52E+02	2.03E+01	7.35E+02	1.60E+04
20.8	173.2	7.4	7.54E+02	2.04E+01	7.37E+02	1.60E+04
20.9	169.0	7.2	7.57E+02	2.05E+01	7.39E+02	1.61E+04
21.0	165.0	7.0	7.59E+02	2.05E+01	7.41E+02	1.61E+04
21.1	161.2	6.9	7.61E+02	2.06E+01	7.44E+02	1.62E+04
21.2	157.5	6.7	7.63E+02	2.06E+01	7.46E+02	1.62E+04
21.3	154.0	6.6	7.66E+02	2.07E+01	7.48E+02	1.63E+04
21.4	150.6	6.4	7.68E+02	2.07E+01	7.50E+02	1.63E+04
21.5	147.4	6.3	7.70E+02	2.08E+01	7.52E+02	1.64E+04
21.6	144.4	6.1	7.72E+02	2.09E+01	7.54E+02	1.64E+04
21.7	141.5	6.0	7.74E+02	2.09E+01	7.56E+02	1.65E+04
21.8	138.7	5.9	7.76E+02	2.10E+01	7.58E+02	1.65E+04
21.9	136.0	5.8	7.78E+02	2.10E+01	7.60E+02	1.65E+04
22.0	133.4	5.5	7.79E+02	2.11E+01	7.61E+02	1.66E+04
