88Sr(p,3n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
38.1	463.0	18.6	6.64E+02	1.80E+01	6.49E+02	1.41E+04
38.2	463.8	18.6	6.74E+02	1.82E+01	6.59E+02	1.43E+04
38.3	464.5	18.6	6.84E+02	1.85E+01	6.68E+02	1.46E+04
38.4	465.2	18.7	6.94E+02	1.88E+01	6.78E+02	1.48E+04
38.5	465.9	18.7	7.05E+02	1.90E+01	6.88E+02	1.50E+04
38.6	466.5	18.7	7.15E+02	1.93E+01	6.98E+02	1.52E+04
38.7	467.0	18.7	7.25E+02	1.96E+01	7.08E+02	1.54E+04
38.8	467.5	18.8	7.35E+02	1.99E+01	7.18E+02	1.56E+04
38.9	468.0	18.8	7.45E+02	2.01E+01	7.28E+02	1.59E+04
39.0	468.4	18.8	7.56E+02	2.04E+01	7.38E+02	1.61E+04
39.1	468.7	18.8	7.66E+02	2.07E+01	7.48E+02	1.63E+04
39.2	469.0	18.8	7.76E+02	2.10E+01	7.58E+02	1.65E+04
39.3	469.2	18.8	7.87E+02	2.13E+01	7.69E+02	1.67E+04
39.4	469.4	18.8	7.97E+02	2.15E+01	7.79E+02	1.70E+04
39.5	469.5	18.8	8.08E+02	2.18E+01	7.89E+02	1.72E+04
39.6	469.5	18.8	8.18E+02	2.21E+01	7.99E+02	1.74E+04
39.7	469.4	18.8	8.28E+02	2.24E+01	8.09E+02	1.76E+04
39.8	469.2	18.8	8.39E+02	2.27E+01	8.19E+02	1.78E+04
39.9	469.0	18.8	8.49E+02	2.30E+01	8.30E+02	1.81E+04
40.0	468.7	18.8	8.60E+02	2.32E+01	8.40E+02	1.83E+04
40.1	468.3	20.2	8.70E+02	2.35E+01	8.50E+02	1.85E+04
40.2	467.8	20.2	8.81E+02	2.38E+01	8.60E+02	1.87E+04
40.3	467.1	20.1	8.91E+02	2.41E+01	8.71E+02	1.90E+04
40.4	466.4	20.1	9.02E+02	2.44E+01	8.81E+02	1.92E+04
40.5	465.6	20.1	9.12E+02	2.47E+01	8.91E+02	1.94E+04
40.6	464.7	20.0	9.23E+02	2.49E+01	9.02E+02	1.96E+04
40.7	463.7	20.0	9.33E+02	2.52E+01	9.12E+02	1.99E+04
40.8	462.5	19.9	9.44E+02	2.55E+01	9.22E+02	2.01E+04
40.9	461.2	19.9	9.54E+02	2.58E+01	9.32E+02	2.03E+04
41.0	459.9	19.8	9.65E+02	2.61E+01	9.43E+02	2.05E+04
41.1	458.3	19.8	9.75E+02	2.64E+01	9.53E+02	2.07E+04
41.2	456.7	19.7	9.86E+02	2.66E+01	9.63E+02	2.10E+04
41.3	454.9	19.6	9.96E+02	2.69E+01	9.73E+02	2.12E+04
41.4	453.0	19.5	1.01E+03	2.72E+01	9.83E+02	2.14E+04
41.5	451.0	19.4	1.02E+03	2.75E+01	9.94E+02	2.16E+04
41.6	448.8	19.4	1.03E+03	2.78E+01	1.00E+03	2.19E+04
41.7	446.5	19.3	1.04E+03	2.80E+01	1.01E+03	2.21E+04
41.8	444.1	19.1	1.05E+03	2.83E+01	1.02E+03	2.23E+04
41.9	441.5	19.0	1.06E+03	2.86E+01	1.03E+03	2.25E+04
42.0	438.8	18.9	1.07E+03	2.89E+01	1.04E+03	2.27E+04
42.1	435.9	34.1	1.08E+03	2.92E+01	1.05E+03	2.29E+04
42.2	432.9	33.8	1.09E+03	2.94E+01	1.06E+03	2.32E+04
42.3	429.8	33.6	1.10E+03	2.97E+01	1.07E+03	2.34E+04
42.4	426.6	33.3	1.11E+03	3.00E+01	1.08E+03	2.36E+04
42.5	423.2	33.1	1.12E+03	3.02E+01	1.09E+03	2.38E+04
42.6	419.7	32.8	1.13E+03	3.05E+01	1.10E+03	2.40E+04
42.7	416.1	32.5	1.14E+03	3.08E+01	1.11E+03	2.42E+04
42.8	412.3	32.2	1.15E+03	3.10E+01	1.12E+03	2.44E+04
42.9	408.5	31.9	1.16E+03	3.13E+01	1.13E+03	2.46E+04
43.0	404.6	31.6	1.17E+03	3.16E+01	1.14E+03	2.48E+04
43.1	400.6	31.3	1.18E+03	3.18E+01	1.15E+03	2.50E+04
43.2	396.4	31.0	1.19E+03	3.21E+01	1.16E+03	2.52E+04
43.3	392.2	30.6	1.20E+03	3.23E+01	1.17E+03	2.54E+04
43.4	387.9	30.3	1.20E+03	3.26E+01	1.18E+03	2.56E+04
43.5	383.6	30.0	1.21E+03	3.28E+01	1.19E+03	2.58E+04
43.6	379.1	29.6	1.22E+03	3.31E+01	1.19E+03	2.60E+04
43.7	374.6	29.3	1.23E+03	3.33E+01	1.20E+03	2.62E+04
43.8	370.1	28.9	1.24E+03	3.35E+01	1.21E+03	2.64E+04
43.9	365.4	28.5	1.25E+03	3.38E+01	1.22E+03	2.66E+04
44.0	360.7	28.2	1.26E+03	3.40E+01	1.23E+03	2.68E+04
44.1	356.0	42.5	1.27E+03	3.42E+01	1.24E+03	2.69E+04
44.2	351.2	42.0	1.28E+03	3.45E+01	1.25E+03	2.71E+04
44.3	346.4	41.4	1.28E+03	3.47E+01	1.25E+03	2.73E+04
44.4	341.6	40.8	1.29E+03	3.49E+01	1.26E+03	2.75E+04
44.5	336.7	40.2	1.30E+03	3.51E+01	1.27E+03	2.77E+04
